"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Prokka_AMPS04__gff","Prokka_AMPS05__gff","Prokka_AMPS17__gff","Prokka_AMPS22__gff","Prokka_AMPS23__gff","Prokka_AMPS34__gff"
"proC_4","","Pyrroline-5-carboxylate reductase","6","6","1","1","1033","","","","782","782","782","FAPEHDJO_00276","PECMOLEC_06420","GAOMCEMF_00027","HOKMPMND_06516","LGNEOHGC_06818","ANOIEJPP_06536"
"alaS_1","","Alanine--tRNA ligase","6","6","1","1","11111","","","","737","737","737","FAPEHDJO_02087","PECMOLEC_00359","GAOMCEMF_04762","HOKMPMND_03405","LGNEOHGC_04788","ANOIEJPP_00600"
"cbs","","Putative cystathionine beta-synthase","6","6","1","1","11112","","","","752","1037","989","FAPEHDJO_02088","PECMOLEC_00360","GAOMCEMF_04761","HOKMPMND_03404","LGNEOHGC_04787","ANOIEJPP_00601"
"group_3733","","hypothetical protein","6","6","1","1","11136","","","","953","956","954","FAPEHDJO_02114","PECMOLEC_00384","GAOMCEMF_04736","HOKMPMND_03379","LGNEOHGC_04766","ANOIEJPP_00625"
"ttuD","","Putative hydroxypyruvate reductase","6","6","1","1","11137","","","","1265","1265","1265","FAPEHDJO_02115","PECMOLEC_00385","GAOMCEMF_04735","HOKMPMND_03378","LGNEOHGC_04765","ANOIEJPP_00626"
"potH_1","","hypothetical protein","6","6","1","1","11141","","","","794","824","809","FAPEHDJO_02119","PECMOLEC_00389","GAOMCEMF_04731","HOKMPMND_03374","LGNEOHGC_04761","ANOIEJPP_00630"
"scpB","","Segregation and condensation protein B","6","6","1","1","11195","","","","716","716","716","FAPEHDJO_02153","PECMOLEC_00427","GAOMCEMF_04694","HOKMPMND_03341","LGNEOHGC_04728","ANOIEJPP_00668"
"group_3739","","hypothetical protein","6","6","1","1","11215","","","","146","146","146","FAPEHDJO_02169","PECMOLEC_00444","GAOMCEMF_04677","HOKMPMND_03323","LGNEOHGC_04712","ANOIEJPP_00687"
"idnD_2","","L-idonate 5-dehydrogenase (NAD(P)(+))","6","6","1","1","1025","","","","365","1043","927","FAPEHDJO_00283","PECMOLEC_06430","GAOMCEMF_00034","HOKMPMND_06526","LGNEOHGC_06811","ANOIEJPP_06529"
"sthA","","putative soluble pyridine nucleotide transhydrogenase","6","6","1","1","11073","","","","1406","1463","1425","FAPEHDJO_02179","PECMOLEC_00452","GAOMCEMF_04662","HOKMPMND_03314","LGNEOHGC_04704","ANOIEJPP_00695"
"group_3745","","hypothetical protein","6","6","1","1","11056","","","","509","509","509","FAPEHDJO_02193","PECMOLEC_00466","GAOMCEMF_04648","HOKMPMND_03301","LGNEOHGC_04690","ANOIEJPP_00708"
"gatB","","Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B","6","6","1","1","11054","","","","1502","1604","1519","FAPEHDJO_02195","PECMOLEC_00468","GAOMCEMF_04646","HOKMPMND_03299","LGNEOHGC_04688","ANOIEJPP_00710"
"group_3747","","hypothetical protein","6","6","1","1","11050","","","","398","398","398","FAPEHDJO_02198","PECMOLEC_00471","GAOMCEMF_04643","HOKMPMND_03296","LGNEOHGC_04684","ANOIEJPP_00713"
"group_3748","","hypothetical protein","6","6","1","1","11049","","","","434","434","434","FAPEHDJO_02199","PECMOLEC_00472","GAOMCEMF_04642","HOKMPMND_03295","LGNEOHGC_04683","ANOIEJPP_00714"
"group_3749","aroQ_2","3-dehydroquinate dehydratase","6","6","1","1","11045","","","","437","437","437","FAPEHDJO_02203","PECMOLEC_00476","GAOMCEMF_04638","HOKMPMND_03291","LGNEOHGC_04679","ANOIEJPP_00718"
"group_3750","","hypothetical protein","6","6","1","1","11040","","","","413","413","413","FAPEHDJO_02208","PECMOLEC_00481","GAOMCEMF_04633","HOKMPMND_03286","LGNEOHGC_04674","ANOIEJPP_00724"
"alaC","","Glutamate-pyruvate aminotransferase AlaC","6","6","1","1","11039","","","","1217","1319","1251","FAPEHDJO_02209","PECMOLEC_00482","GAOMCEMF_04632","HOKMPMND_03285","LGNEOHGC_04673","ANOIEJPP_00725"
"hom","","Homoserine dehydrogenase","6","6","1","1","11038","","","","1325","1403","1338","FAPEHDJO_02210","PECMOLEC_00483","GAOMCEMF_04631","HOKMPMND_03284","LGNEOHGC_04672","ANOIEJPP_00726"
"group_3753","","hypothetical protein","6","6","1","1","11006","","","","305","305","305","FAPEHDJO_02222","PECMOLEC_00518","GAOMCEMF_04619","HOKMPMND_03273","LGNEOHGC_04632","ANOIEJPP_00739"
"group_3754","","hypothetical protein","6","6","1","1","10127","","","","179","179","179","FAPEHDJO_02225","PECMOLEC_00524","GAOMCEMF_04513","HOKMPMND_03223","LGNEOHGC_04582","ANOIEJPP_00745"
"yhdY","","Inner membrane amino-acid ABC transporter permease protein YhdY","6","6","1","1","10119","","","","1154","1172","1157","FAPEHDJO_02231","PECMOLEC_00529","GAOMCEMF_04507","HOKMPMND_03218","LGNEOHGC_04576","ANOIEJPP_00750"
"group_3757","","hypothetical protein","6","6","1","1","10118","","","","1202","1202","1202","FAPEHDJO_02232","PECMOLEC_00530","GAOMCEMF_04506","HOKMPMND_03217","LGNEOHGC_04575","ANOIEJPP_00751"
"group_3758","","hypothetical protein","6","6","1","1","10114","","","","245","245","245","FAPEHDJO_02236","PECMOLEC_00534","GAOMCEMF_04502","HOKMPMND_03213","LGNEOHGC_04571","ANOIEJPP_00755"
"group_3760","","hypothetical protein","6","6","1","1","10103","","","","1190","1190","1190","FAPEHDJO_02245","PECMOLEC_00544","GAOMCEMF_04493","HOKMPMND_03203","LGNEOHGC_04562","ANOIEJPP_00766"
"group_3761","","hypothetical protein","6","6","1","1","10100","","","","836","836","836","FAPEHDJO_02248","PECMOLEC_00547","GAOMCEMF_04490","HOKMPMND_03200","LGNEOHGC_04559","ANOIEJPP_00769"
"group_3762","","TelA-like protein","6","6","1","1","10099","","","","1076","1076","1076","FAPEHDJO_02249","PECMOLEC_00548","GAOMCEMF_04489","HOKMPMND_03199","LGNEOHGC_04558","ANOIEJPP_00770"
"group_3763","","hypothetical protein","6","6","1","1","10095","","","","1106","1106","1106","FAPEHDJO_02252","PECMOLEC_00552","GAOMCEMF_04486","HOKMPMND_03196","LGNEOHGC_04555","ANOIEJPP_00775"
"frr","","Ribosome-recycling factor","6","6","1","1","10091","","","","560","620","570","FAPEHDJO_02256","PECMOLEC_00556","GAOMCEMF_04482","HOKMPMND_03192","LGNEOHGC_04551","ANOIEJPP_00779"
"mmpA","","Metalloprotease MmpA","6","6","1","1","10087","","","","884","1133","1091","FAPEHDJO_02259","PECMOLEC_00559","GAOMCEMF_04479","HOKMPMND_03189","LGNEOHGC_04548","ANOIEJPP_00782"
"bamA_1","","Outer membrane protein assembly factor BamA","6","6","1","1","10086","","","","1877","2333","2181","FAPEHDJO_02260","PECMOLEC_00560","GAOMCEMF_04478","HOKMPMND_03188","LGNEOHGC_04547","ANOIEJPP_00783"
"lpxA","","Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase","6","6","1","1","10083","","","","818","818","818","FAPEHDJO_02263","PECMOLEC_00563","GAOMCEMF_04475","HOKMPMND_03185","LGNEOHGC_04544","ANOIEJPP_00786"
"gltA","","Citrate synthase","6","6","1","1","10080","","","","1196","1289","1273","FAPEHDJO_02266","PECMOLEC_00566","GAOMCEMF_04472","HOKMPMND_03182","LGNEOHGC_04541","ANOIEJPP_00789"
"kdsA","","2-dehydro-3-deoxyphosphooctonate aldolase","6","6","1","1","10076","","","","845","845","845","FAPEHDJO_02270","PECMOLEC_00570","GAOMCEMF_04468","HOKMPMND_03178","LGNEOHGC_04537","ANOIEJPP_00793"
"lipA","","Lipoyl synthase","6","6","1","1","10063","","","","818","971","920","FAPEHDJO_02281","PECMOLEC_00582","GAOMCEMF_04456","HOKMPMND_03167","LGNEOHGC_04526","ANOIEJPP_00805"
"ispDF","","Bifunctional enzyme IspD/IspF","6","6","1","1","10055","","","","1217","1217","1217","FAPEHDJO_02286","PECMOLEC_00586","GAOMCEMF_04450","HOKMPMND_03162","LGNEOHGC_04521","ANOIEJPP_00809"
"dusB","","tRNA-dihydrouridine synthase B","6","6","1","1","10054","","","","947","953","949","FAPEHDJO_02287","PECMOLEC_00587","GAOMCEMF_04449","HOKMPMND_03161","LGNEOHGC_04520","ANOIEJPP_00810"
"hflX","","GTPase HflX","6","6","1","1","10043","","","","1064","1325","1281","FAPEHDJO_02297","PECMOLEC_00597","GAOMCEMF_04440","HOKMPMND_03152","LGNEOHGC_04512","ANOIEJPP_00819"
"group_3776","","hypothetical protein","6","6","1","1","10039","","","","314","314","314","FAPEHDJO_02301","PECMOLEC_00601","GAOMCEMF_04436","HOKMPMND_03148","LGNEOHGC_04508","ANOIEJPP_00824"
"group_3777","ubiL_2","Ubiquinone hydroxylase UbiL","6","6","1","1","10036","","","","1211","1211","1211","FAPEHDJO_02304","PECMOLEC_00604","GAOMCEMF_04433","HOKMPMND_03144","LGNEOHGC_04505","ANOIEJPP_00827"
"fabG_17","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","6","6","1","1","10032","","","","791","791","791","FAPEHDJO_02308","PECMOLEC_00608","GAOMCEMF_04429","HOKMPMND_03140","LGNEOHGC_04501","ANOIEJPP_00831"
"apsD_3","","D-apiose dehydrogenase","6","6","1","1","1002","","","","1034","1034","1034","FAPEHDJO_00304","PECMOLEC_06450","GAOMCEMF_00053","HOKMPMND_06542","LGNEOHGC_06792","ANOIEJPP_06510"
"group_3782","","hypothetical protein","6","6","1","1","10014","","","","218","218","218","FAPEHDJO_02317","PECMOLEC_00624","GAOMCEMF_04420","HOKMPMND_03129","LGNEOHGC_04491","ANOIEJPP_00846"
"group_3783","","hypothetical protein","6","6","1","1","10012","","","","1928","1928","1928","FAPEHDJO_02318","PECMOLEC_00625","GAOMCEMF_04419","HOKMPMND_03128","LGNEOHGC_04490","ANOIEJPP_00847"
"group_3784","","hypothetical protein","6","6","1","1","9996","","","","380","380","380","FAPEHDJO_02330","PECMOLEC_00641","GAOMCEMF_04408","HOKMPMND_03111","LGNEOHGC_04478","ANOIEJPP_00863"
"group_3785","","hypothetical protein","6","6","1","1","9993","","","","290","290","290","FAPEHDJO_02333","PECMOLEC_00644","GAOMCEMF_04405","HOKMPMND_03108","LGNEOHGC_04475","ANOIEJPP_00866"
"rhaS_6","","HTH-type transcriptional activator RhaS","6","6","1","1","9979","","","","887","956","898","FAPEHDJO_02341","PECMOLEC_00654","GAOMCEMF_04398","HOKMPMND_03094","LGNEOHGC_04467","ANOIEJPP_00876"
"nagC_1","","N-acetylglucosamine repressor","6","6","1","1","9974","","","","1118","1199","1185","FAPEHDJO_02345","PECMOLEC_00659","GAOMCEMF_04393","HOKMPMND_03090","LGNEOHGC_04463","ANOIEJPP_00880"
"ugpC_17","","sn-glycerol-3-phosphate import ATP-binding protein UgpC","6","6","1","1","9970","","","","1073","1073","1073","FAPEHDJO_02349","PECMOLEC_00663","GAOMCEMF_04389","HOKMPMND_03086","LGNEOHGC_04459","ANOIEJPP_00884"
"ddpA_2","","putative D,D-dipeptide-binding periplasmic protein DdpA","6","6","1","1","9958","","","","1238","1595","1535","FAPEHDJO_02357","PECMOLEC_00674","GAOMCEMF_04380","HOKMPMND_03076","LGNEOHGC_04451","ANOIEJPP_00895"
"dppB_7","","Dipeptide transport system permease protein DppB","6","6","1","1","9957","","","","374","1028","919","FAPEHDJO_02358","PECMOLEC_00675","GAOMCEMF_04379","HOKMPMND_03075","LGNEOHGC_04450","ANOIEJPP_00897"
"pgrR_2","","HTH-type transcriptional regulator PgrR","6","6","1","1","9943","","","","893","920","902","FAPEHDJO_02377","PECMOLEC_00688","GAOMCEMF_04367","HOKMPMND_03062","LGNEOHGC_04439","ANOIEJPP_00909"
"group_3797","","hypothetical protein","6","6","1","1","9923","","","","209","209","209","FAPEHDJO_02385","PECMOLEC_00697","GAOMCEMF_04358","HOKMPMND_03054","LGNEOHGC_04431","ANOIEJPP_00918"
"gntR_2","","putative D-xylose utilization operon transcriptional repressor","6","6","1","1","9916","","","","614","614","614","FAPEHDJO_02391","PECMOLEC_00703","GAOMCEMF_04352","HOKMPMND_03048","LGNEOHGC_04425","ANOIEJPP_00924"
"group_3799","","Purine-binding protein","6","6","1","1","9908","","","","938","1076","1053","FAPEHDJO_02398","PECMOLEC_00711","GAOMCEMF_04345","HOKMPMND_03041","LGNEOHGC_04418","ANOIEJPP_00932"
"ytfQ","","ABC transporter periplasmic-binding protein YtfQ","6","6","1","1","9907","","","","566","962","896","FAPEHDJO_02399","PECMOLEC_00712","GAOMCEMF_04344","HOKMPMND_03040","LGNEOHGC_04417","ANOIEJPP_00933"
"fruK_1","","Fructose import ATP-binding protein FruK","6","6","1","1","9906","","","","1523","1523","1523","FAPEHDJO_02400","PECMOLEC_00713","GAOMCEMF_04343","HOKMPMND_03039","LGNEOHGC_04416","ANOIEJPP_00934"
"nanR_4","","HTH-type transcriptional repressor NanR","6","6","1","1","9903","","","","773","785","783","FAPEHDJO_02403","PECMOLEC_00716","GAOMCEMF_04340","HOKMPMND_03036","LGNEOHGC_04413","ANOIEJPP_00937"
"recG","","ATP-dependent DNA helicase RecG","6","6","1","1","9897","","","","917","2105","1907","FAPEHDJO_02407","PECMOLEC_00721","GAOMCEMF_04336","HOKMPMND_03032","LGNEOHGC_04409","ANOIEJPP_00941"
"group_3804","","hypothetical protein","6","6","1","1","9896","","","","305","305","305","FAPEHDJO_02408","PECMOLEC_00722","GAOMCEMF_04335","HOKMPMND_03030","LGNEOHGC_04408","ANOIEJPP_00942"
"group_3805","","hypothetical protein","6","6","1","1","9889","","","","659","665","662","FAPEHDJO_02413","PECMOLEC_00728","GAOMCEMF_04330","HOKMPMND_03024","LGNEOHGC_04402","ANOIEJPP_00947"
"group_3807","","hypothetical protein","6","6","1","1","9882","","","","1733","1835","1750","FAPEHDJO_02419","PECMOLEC_00735","GAOMCEMF_04324","HOKMPMND_03018","LGNEOHGC_04395","ANOIEJPP_00954"
"group_3808","","hypothetical protein","6","6","1","1","9871","","","","134","134","134","FAPEHDJO_02428","PECMOLEC_00744","GAOMCEMF_04315","HOKMPMND_03007","LGNEOHGC_04386","ANOIEJPP_00963"
"coaD","","Phosphopantetheine adenylyltransferase","6","6","1","1","9867","","","","494","494","494","FAPEHDJO_02431","PECMOLEC_00747","GAOMCEMF_04312","HOKMPMND_03004","LGNEOHGC_04383","ANOIEJPP_00966"
"group_3811","","hypothetical protein","6","6","1","1","9860","","","","428","428","428","FAPEHDJO_02437","PECMOLEC_00752","GAOMCEMF_04306","HOKMPMND_02999","LGNEOHGC_04377","ANOIEJPP_00970"
"group_3814","ugpA_1","sn-glycerol-3-phosphate transport system permease protein UgpA","6","6","1","1","9847","","","","923","923","923","FAPEHDJO_02447","PECMOLEC_00765","GAOMCEMF_04296","HOKMPMND_02985","LGNEOHGC_04367","ANOIEJPP_00983"
"rbsR_3","","Ribose operon repressor","6","6","1","1","9844","","","","980","995","985","FAPEHDJO_02450","PECMOLEC_00768","GAOMCEMF_04293","HOKMPMND_02982","LGNEOHGC_04364","ANOIEJPP_00986"
"ftsP","","Cell division protein FtsP","6","6","1","1","9829","","","","1346","1346","1346","FAPEHDJO_02461","PECMOLEC_00781","GAOMCEMF_04281","HOKMPMND_02970","LGNEOHGC_04353","ANOIEJPP_00998"
"exuR_2","","putative HTH-type transcriptional repressor ExuR","6","6","1","1","9812","","","","1088","1088","1088","FAPEHDJO_02474","PECMOLEC_00800","GAOMCEMF_04267","HOKMPMND_02959","LGNEOHGC_04340","ANOIEJPP_01018"
"group_382","nagZ_1","Beta-hexosaminidase","6","6","1","1","2478","","","","1175","2483","2261","FAPEHDJO_00349","PECMOLEC_06497","GAOMCEMF_00097","HOKMPMND_06586","LGNEOHGC_06747","ANOIEJPP_06460"
"rbsA_5","","Ribose import ATP-binding protein RbsA","6","6","1","1","9810","","","","1541","1541","1541","FAPEHDJO_02476","PECMOLEC_00802","GAOMCEMF_04265","HOKMPMND_02957","LGNEOHGC_04338","ANOIEJPP_01020"
"group_3821","","hypothetical protein","6","6","1","1","9806","","","","2150","2153","2151","FAPEHDJO_02480","PECMOLEC_00806","GAOMCEMF_04260","HOKMPMND_02954","LGNEOHGC_04333","ANOIEJPP_01023"
"group_3822","dhmA_2","Haloalkane dehalogenase","6","6","1","1","9805","","","","1310","1310","1310","FAPEHDJO_02481","PECMOLEC_00807","GAOMCEMF_04259","HOKMPMND_02953","LGNEOHGC_04332","ANOIEJPP_01024"
"rbn_2","","Ribonuclease BN","6","6","1","1","9784","","","","818","818","818","FAPEHDJO_02495","PECMOLEC_00820","GAOMCEMF_04244","HOKMPMND_02937","LGNEOHGC_04318","ANOIEJPP_01038"
"group_3825","","hypothetical protein","6","6","1","1","9781","","","","788","872","802","FAPEHDJO_02498","PECMOLEC_00823","GAOMCEMF_04241","HOKMPMND_02934","LGNEOHGC_04315","ANOIEJPP_01041"
"group_3828","","hypothetical protein","6","6","1","1","9774","","","","326","326","326","FAPEHDJO_02507","PECMOLEC_00829","GAOMCEMF_04231","HOKMPMND_02925","LGNEOHGC_04306","ANOIEJPP_01048"
"dhaA_2","","putative protein","6","6","1","1","2485","","","","929","1058","973","FAPEHDJO_00356","PECMOLEC_06503","GAOMCEMF_00103","HOKMPMND_06593","LGNEOHGC_06741","ANOIEJPP_06453"
"group_3830","","hypothetical protein","6","6","1","1","9752","","","","827","938","864","FAPEHDJO_02514","PECMOLEC_00838","GAOMCEMF_04224","HOKMPMND_02919","LGNEOHGC_04278","ANOIEJPP_01057"
"group_3831","","hypothetical protein","6","6","1","1","9750","","","","116","116","116","FAPEHDJO_02516","PECMOLEC_00840","GAOMCEMF_04222","HOKMPMND_02917","LGNEOHGC_04276","ANOIEJPP_01059"
"group_3832","","hypothetical protein","6","6","1","1","9749","","","","152","155","154","FAPEHDJO_02517","PECMOLEC_00841","GAOMCEMF_04221","HOKMPMND_02916","LGNEOHGC_04275","ANOIEJPP_01060"
"ppiD","","Peptidyl-prolyl cis-trans isomerase D","6","6","1","1","9744","","","","1892","1892","1892","FAPEHDJO_02522","PECMOLEC_00846","GAOMCEMF_04217","HOKMPMND_02911","LGNEOHGC_04270","ANOIEJPP_01065"
"group_3837","","hypothetical protein","6","6","1","1","9715","","","","1142","1142","1142","FAPEHDJO_02549","PECMOLEC_00867","GAOMCEMF_04189","HOKMPMND_02888","LGNEOHGC_04243","ANOIEJPP_01086"
"group_3838","","hypothetical protein","6","6","1","1","9712","","","","611","611","611","FAPEHDJO_02550","PECMOLEC_00868","GAOMCEMF_04188","HOKMPMND_02887","LGNEOHGC_04242","ANOIEJPP_01087"
"ydjA","","Putative NAD(P)H nitroreductase YdjA","6","6","1","1","9711","","","","584","584","584","FAPEHDJO_02551","PECMOLEC_00869","GAOMCEMF_04187","HOKMPMND_02886","LGNEOHGC_04241","ANOIEJPP_01088"
"rutC","","Putative aminoacrylate peracid reductase RutC","6","6","1","1","2407","","","","389","506","408","FAPEHDJO_00406","PECMOLEC_06540","GAOMCEMF_00153","HOKMPMND_06630","LGNEOHGC_06691","ANOIEJPP_06414"
"group_3840","","hypothetical protein","6","6","1","1","9706","","","","527","527","527","FAPEHDJO_02554","PECMOLEC_00872","GAOMCEMF_04184","HOKMPMND_02880","LGNEOHGC_04238","ANOIEJPP_01091"
"yidD","","Putative membrane protein insertion efficiency factor","6","6","1","1","9704","","","","404","404","404","FAPEHDJO_02556","PECMOLEC_00874","GAOMCEMF_04182","HOKMPMND_02878","LGNEOHGC_04236","ANOIEJPP_01093"
"group_3842","","hypothetical protein","6","6","1","1","9703","","","","143","446","345","FAPEHDJO_02557","PECMOLEC_00875","GAOMCEMF_04181","HOKMPMND_02877","LGNEOHGC_04235","ANOIEJPP_01094"
"group_3843","","hypothetical protein","6","6","1","1","9696","","","","515","611","563","FAPEHDJO_02564","PECMOLEC_00882","GAOMCEMF_04174","HOKMPMND_02870","LGNEOHGC_04228","ANOIEJPP_01102"
"group_3844","","hypothetical protein","6","6","1","1","9691","","","","785","785","785","FAPEHDJO_02567","PECMOLEC_00886","GAOMCEMF_04171","HOKMPMND_02867","LGNEOHGC_04225","ANOIEJPP_01106"
"group_3846","","hypothetical protein","6","6","1","1","9682","","","","764","764","764","FAPEHDJO_02574","PECMOLEC_00894","GAOMCEMF_04164","HOKMPMND_02859","LGNEOHGC_04218","ANOIEJPP_01113"
"group_3847","","hypothetical protein","6","6","1","1","9680","","","","989","989","989","FAPEHDJO_02575","PECMOLEC_00895","GAOMCEMF_04163","HOKMPMND_02858","LGNEOHGC_04217","ANOIEJPP_01114"
"mgtE","","Magnesium transporter MgtE","6","6","1","1","9678","","","","1082","1415","1248","FAPEHDJO_02577","PECMOLEC_00897","GAOMCEMF_04161","HOKMPMND_02856","LGNEOHGC_04215","ANOIEJPP_01116"
"def_1","","Peptide deformylase","6","6","1","1","9677","","","","494","494","494","FAPEHDJO_02578","PECMOLEC_00898","GAOMCEMF_04159","HOKMPMND_02854","LGNEOHGC_04214","ANOIEJPP_01117"
"codAch2","","Pterin deaminase","6","6","1","1","2404","","","","776","1313","1214","FAPEHDJO_00409","PECMOLEC_06543","GAOMCEMF_00156","HOKMPMND_06633","LGNEOHGC_06688","ANOIEJPP_06411"
"group_3850","","hypothetical protein","6","6","1","1","9518","","","","467","467","467","FAPEHDJO_02588","PECMOLEC_00995","GAOMCEMF_04149","HOKMPMND_02844","LGNEOHGC_04205","ANOIEJPP_01127"
"mupP","","N-acetylmuramic acid 6-phosphate phosphatase","6","6","1","1","9511","","","","653","653","653","FAPEHDJO_02594","PECMOLEC_01002","GAOMCEMF_04143","HOKMPMND_02837","LGNEOHGC_04199","ANOIEJPP_01133"
"group_3852","","hypothetical protein","6","6","1","1","9508","","","","266","266","266","FAPEHDJO_02597","PECMOLEC_01005","GAOMCEMF_04140","HOKMPMND_02834","LGNEOHGC_04196","ANOIEJPP_01136"
"gcvT_1","","Aminomethyltransferase","6","6","1","1","9505","","","","503","1136","1030","FAPEHDJO_02600","PECMOLEC_01008","GAOMCEMF_04137","HOKMPMND_02830","LGNEOHGC_04193","ANOIEJPP_01139"
"csd","","putative cysteine desulfurase","6","6","1","1","9490","","","","1241","1241","1241","FAPEHDJO_02610","PECMOLEC_01018","GAOMCEMF_04128","HOKMPMND_02822","LGNEOHGC_04184","ANOIEJPP_01149"
"group_3856","","hypothetical protein","6","6","1","1","9483","","","","1175","1175","1175","FAPEHDJO_02616","PECMOLEC_01024","GAOMCEMF_04122","HOKMPMND_02815","LGNEOHGC_04177","ANOIEJPP_01155"
"group_3857","","hypothetical protein","6","6","1","1","9464","","","","317","317","317","FAPEHDJO_02628","PECMOLEC_01035","GAOMCEMF_04109","HOKMPMND_02803","LGNEOHGC_04164","ANOIEJPP_01166"
"livJ","","Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein","6","6","1","1","9462","","","","1082","1082","1082","FAPEHDJO_02630","PECMOLEC_01037","GAOMCEMF_04107","HOKMPMND_02801","LGNEOHGC_04162","ANOIEJPP_01168"
"group_3859","","hypothetical protein","6","6","1","1","9460","","","","725","725","725","FAPEHDJO_02632","PECMOLEC_01039","GAOMCEMF_04105","HOKMPMND_02799","LGNEOHGC_04160","ANOIEJPP_01170"
"group_3860","","hypothetical protein","6","6","1","1","9455","","","","806","806","806","FAPEHDJO_02637","PECMOLEC_01043","GAOMCEMF_04100","HOKMPMND_02795","LGNEOHGC_04155","ANOIEJPP_01175"
"group_3861","","hypothetical protein","6","6","1","1","9453","","","","2297","2300","2298","FAPEHDJO_02639","PECMOLEC_01045","GAOMCEMF_04098","HOKMPMND_02793","LGNEOHGC_04153","ANOIEJPP_01177"
"group_3862","","hypothetical protein","6","6","1","1","9449","","","","395","395","395","FAPEHDJO_02643","PECMOLEC_01049","GAOMCEMF_04094","HOKMPMND_02789","LGNEOHGC_04149","ANOIEJPP_01181"
"bcr_2","","Bicyclomycin resistance protein","6","6","1","1","9437","","","","1280","1280","1280","FAPEHDJO_02654","PECMOLEC_01060","GAOMCEMF_04084","HOKMPMND_02778","LGNEOHGC_04138","ANOIEJPP_01194"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase","6","6","1","1","9433","","","","869","869","869","FAPEHDJO_02658","PECMOLEC_01064","GAOMCEMF_04080","HOKMPMND_02775","LGNEOHGC_04134","ANOIEJPP_01198"
"glsA","","Thermolabile glutaminase","6","6","1","1","9430","","","","809","929","909","FAPEHDJO_02659","PECMOLEC_01065","GAOMCEMF_04079","HOKMPMND_02774","LGNEOHGC_04133","ANOIEJPP_01199"
"rpsD","","30S ribosomal protein S4","6","6","1","1","9429","","","","575","617","610","FAPEHDJO_02660","PECMOLEC_01066","GAOMCEMF_04078","HOKMPMND_02773","LGNEOHGC_04132","ANOIEJPP_01200"
"murI","","Glutamate racemase","6","6","1","1","9425","","","","800","803","801","FAPEHDJO_02664","PECMOLEC_01070","GAOMCEMF_04075","HOKMPMND_02770","LGNEOHGC_04129","ANOIEJPP_01204"
"ngcG_1","","Diacetylchitobiose uptake system permease protein NgcG","6","6","1","1","465","","","","857","1823","1018","FAPEHDJO_00474","PECMOLEC_06610","GAOMCEMF_00245","HOKMPMND_06719","LGNEOHGC_06634","ANOIEJPP_06345"
"gstB_1","","Glutathione S-transferase GST-6.0","6","6","1","1","4755","","","","626","626","626","FAPEHDJO_02670","PECMOLEC_01076","GAOMCEMF_04069","HOKMPMND_02764","LGNEOHGC_04123","ANOIEJPP_01210"
"recA","","Protein RecA","6","6","1","1","4750","","","","914","1094","1064","FAPEHDJO_02674","PECMOLEC_01080","GAOMCEMF_04065","HOKMPMND_02760","LGNEOHGC_04119","ANOIEJPP_01214"
"psuK","","Pseudouridine kinase","6","6","1","1","4749","","","","944","944","944","FAPEHDJO_02675","PECMOLEC_01081","GAOMCEMF_04064","HOKMPMND_02759","LGNEOHGC_04118","ANOIEJPP_01215"
"psuG","","Pseudouridine-5'-phosphate glycosidase","6","6","1","1","4748","","","","368","926","833","FAPEHDJO_02676","PECMOLEC_01082","GAOMCEMF_04063","HOKMPMND_02758","LGNEOHGC_04117","ANOIEJPP_01216"
"dksA","","RNA polymerase-binding transcription factor DksA","6","6","1","1","4743","","","","419","419","419","FAPEHDJO_02680","PECMOLEC_01086","GAOMCEMF_04059","HOKMPMND_02753","LGNEOHGC_04113","ANOIEJPP_01220"
"dacA","","D-alanyl-D-alanine carboxypeptidase DacA","6","6","1","1","4728","","","","875","875","875","FAPEHDJO_02695","PECMOLEC_01100","GAOMCEMF_04045","HOKMPMND_02739","LGNEOHGC_04097","ANOIEJPP_01235"
"mkl","","putative ribonucleotide transport ATP-binding protein mkl","6","6","1","1","4725","","","","842","842","842","FAPEHDJO_02699","PECMOLEC_01105","GAOMCEMF_04042","HOKMPMND_02736","LGNEOHGC_04094","ANOIEJPP_01241"
"gpmA_1","","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","6","6","1","1","4720","","","","749","749","749","FAPEHDJO_02704","PECMOLEC_01110","GAOMCEMF_04037","HOKMPMND_02731","LGNEOHGC_04089","ANOIEJPP_01246"
"group_3880","mdtE_3","Multidrug resistance protein MdtE","6","6","1","1","4718","","","","1178","1178","1178","FAPEHDJO_02706","PECMOLEC_01112","GAOMCEMF_04035","HOKMPMND_02729","LGNEOHGC_04087","ANOIEJPP_01248"
"group_3882","","hypothetical protein","6","6","1","1","4700","","","","530","530","530","FAPEHDJO_02723","PECMOLEC_01127","GAOMCEMF_04022","HOKMPMND_02716","LGNEOHGC_04071","ANOIEJPP_01263"
